"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jan 27 11:45:28 GMT 2024","Sat Jan 27 11:45:28 GMT 2024","0","tests.login_test","Login test suite","","","","test_login_with_empty_username_field",""
"broken","Sat Jan 27 11:45:27 GMT 2024","Sat Jan 27 11:45:27 GMT 2024","0","tests.login_test","Login test suite","","","","test_login_with_invalid_credentials",""
"broken","Sat Jan 27 11:45:29 GMT 2024","Sat Jan 27 11:45:29 GMT 2024","0","tests.login_test","Login test suite","","","","test_login_with_empty_password_field",""
"broken","Sat Jan 27 11:45:28 GMT 2024","Sat Jan 27 11:45:28 GMT 2024","0","tests.login_test","Login test suite","","","","login negative test",""
