"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 08:27:23 GMT 2024","Sun Mar 24 08:27:25 GMT 2024","2711","tests.login_test","Login test suite","","","","login negative test",""
"passed","Sun Mar 24 08:27:34 GMT 2024","Sun Mar 24 08:27:37 GMT 2024","2664","tests.login_test","Login test suite","","","","test_login_with_empty_password_field",""
"passed","Sun Mar 24 08:27:28 GMT 2024","Sun Mar 24 08:27:31 GMT 2024","2659","tests.login_test","Login test suite","","","","test_login_with_empty_username_field",""
"passed","Sun Mar 24 08:27:16 GMT 2024","Sun Mar 24 08:27:20 GMT 2024","3209","tests.login_test","Login test suite","","","","test_login_with_invalid_credentials",""
