"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 09:02:21 GMT 2024","Tue Feb 20 09:02:24 GMT 2024","2665","tests.login_test","Login test suite","","","","test_login_with_empty_password_field",""
"passed","Tue Feb 20 09:02:05 GMT 2024","Tue Feb 20 09:02:09 GMT 2024","3116","tests.login_test","Login test suite","","","","test_login_with_invalid_credentials",""
"passed","Tue Feb 20 09:02:16 GMT 2024","Tue Feb 20 09:02:19 GMT 2024","2644","tests.login_test","Login test suite","","","","test_login_with_empty_username_field",""
"passed","Tue Feb 20 09:02:11 GMT 2024","Tue Feb 20 09:02:14 GMT 2024","2720","tests.login_test","Login test suite","","","","login negative test",""
