"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 19 18:00:05 GMT 2024","Mon Feb 19 18:00:05 GMT 2024","0","tests.login_test","Login test suite","","","","test_login_with_invalid_credentials",""
"broken","Mon Feb 19 18:00:05 GMT 2024","Mon Feb 19 18:00:05 GMT 2024","0","tests.login_test","Login test suite","","","","test_login_with_empty_username_field",""
"broken","Mon Feb 19 18:00:05 GMT 2024","Mon Feb 19 18:00:05 GMT 2024","0","tests.login_test","Login test suite","","","","test_login_with_empty_password_field",""
"broken","Mon Feb 19 18:00:05 GMT 2024","Mon Feb 19 18:00:05 GMT 2024","0","tests.login_test","Login test suite","","","","login negative test",""
